"platformname","cyclenumber","sampledirection","datamode","julianday","datadate","qc4date","latitude","longitude","qc4location","creationdate","updatedate"
"5906039","151","A","A","25537.5593","20191202132523","1","21.668","-152.667","1","20191202180027","20191202180027"
"5906039","152","A","A","25538.5550","20191203131912","1","21.686","-152.576","1","20191203180045","20191203180045"
"5906039","153","A","A","25539.5657","20191204133436","1","21.713","-152.477","1","20191204180042","20191204180042"
"5906039","154","A","A","25540.5636","20191205133135","1","21.758","-152.37","1","20191205180053","20191205180053"
"5906039","155","A","A","25541.5676","20191206133720","1","21.808","-152.278","1","20191206180042","20191206180042"
"5906039","156","A","A","25542.5592","20191207132514","1","21.868","-152.193","1","20191207180043","20191207180043"
"5906039","157","A","A","25543.5564","20191208132112","1","21.924","-152.103","1","20191208180041","20191208180041"
"5906039","158","A","A","25544.5572","20191209132222","1","21.979","-152.014","1","20191209180056","20191209180056"
"5906039","159","A","A","25545.5595","20191210132540","1","22.036","-151.929","1","20191211180101","20191211180101"
"5906039","160","A","A","25546.5632","20191211133100","1","22.088","-151.855","1","20191211180101","20191211180101"
"5906039","161","A","A","25547.5551","20191212131920","1","22.125","-151.786","1","20191212180038","20191212180038"
"5906039","162","A","A","25548.5660","20191213133502","1","22.159","-151.716","1","20191213180427","20191213180427"
"5906039","163","A","A","25549.8415","20191214201145","1","22.204","-151.648","1","20191214230104","20191214230104"
"5906039","164","A","A","25551.1155","20191216024619","1","22.239","-151.585","1","20191216060058","20191216060058"
"5906039","165","A","A","25552.3805","20191217090755","1","22.279","-151.522","1","20191217120034","20191217120034"
"5906039","166","A","A","25553.6508","20191218153709","1","22.329","-151.463","1","20191218200104","20191218200104"
"5906039","167","A","A","25554.9252","20191219221217","1","22.363","-151.409","1","20191220010046","20191220010046"
"5906039","168","A","A","25556.1983","20191221044533","1","22.386","-151.368","1","20191221080044","20191221080044"
"5906039","169","A","A","25557.4811","20191222113247","1","22.387","-151.331","1","20191222150038","20191222150038"
"5906039","170","A","A","25558.7617","20191223181650","1","22.4","-151.31","1","20191223230040","20191223230040"
"5906039","171","A","A","25560.0278","20191225004001","1","22.408","-151.283","1","20191225040034","20191225040034"
"5906039","172","A","A","25561.3089","20191226072448","1","22.421","-151.268","1","20191226100046","20191226100046"
